# throw_id=4,class=backhand,name=,samples=1963,sample_rate_hz=416.0,dropped=0,peak_accel_g=24.1732,peak_gyro_dps=2585.00
time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.0000,0.2996,0.2791,-1.5304,18.62,-36.54,-99.82
0.0024,0.2869,0.3113,-1.4967,20.44,-32.97,-99.61
0.0048,0.2923,0.3250,-1.4723,22.82,-29.75,-99.54
0.0072,0.3157,0.3265,-1.4523,25.13,-25.41,-99.33
0.0096,0.3318,0.3074,-1.4630,27.86,-20.72,-99.19
0.0120,0.3274,0.2772,-1.4933,31.85,-18.48,-98.63
0.0144,0.3270,0.2645,-1.5348,34.72,-16.80,-97.93
0.0168,0.3123,0.2416,-1.6045,33.81,-14.14,-96.60
0.0192,0.2816,0.2142,-1.6504,35.21,-14.35,-94.99
0.0216,0.2577,0.2211,-1.6738,35.70,-14.28,-93.10
0.0240,0.2372,0.2289,-1.6734,33.25,-15.05,-91.00
0.0264,0.2250,0.2191,-1.6421,31.99,-16.10,-88.90
0.0288,0.2186,0.2142,-1.5797,31.78,-17.43,-86.66
0.0313,0.2230,0.2103,-1.5035,29.82,-19.25,-84.63
0.0337,0.2367,0.1962,-1.4577,29.26,-20.65,-82.74
0.0361,0.2513,0.1908,-1.4391,30.10,-22.96,-80.85
0.0385,0.2630,0.1986,-1.4376,30.24,-24.57,-79.17
0.0409,0.2733,0.2045,-1.4450,29.82,-27.30,-77.84
0.0433,0.2865,0.2006,-1.4401,30.38,-30.73,-76.58
0.0457,0.3055,0.1986,-1.4113,30.94,-34.37,-75.60
0.0481,0.3250,0.1854,-1.3791,29.82,-37.59,-74.69
0.0505,0.3377,0.1610,-1.3537,28.98,-41.30,-73.78
0.0529,0.3499,0.1469,-1.3440,28.56,-44.94,-73.15
0.0553,0.3645,0.1444,-1.3459,26.60,-48.44,-72.38
0.0577,0.3772,0.1318,-1.3537,24.85,-52.01,-71.89
0.0601,0.3816,0.1186,-1.3571,23.94,-55.16,-71.40
0.0625,0.3831,0.1240,-1.3586,23.03,-58.80,-71.26
0.0649,0.3880,0.1274,-1.3644,21.56,-62.65,-71.26
0.0673,0.4026,0.1303,-1.3615,21.14,-66.01,-71.54
0.0697,0.4016,0.1322,-1.3635,20.93,-68.11,-71.75
0.0721,0.3772,0.1313,-1.3786,20.02,-71.26,-72.38
0.0745,0.3699,0.1196,-1.3957,18.48,-74.62,-72.94
0.0769,0.3728,0.1093,-1.3991,18.76,-76.65,-73.57
0.0793,0.3694,0.1142,-1.3869,18.27,-79.03,-74.20
0.0817,0.3689,0.1225,-1.3884,17.50,-81.06,-74.69
0.0841,0.3767,0.1303,-1.4079,17.15,-83.51,-75.39
0.0865,0.3880,0.1444,-1.4215,17.50,-84.84,-75.95
0.0889,0.3909,0.1625,-1.4279,17.15,-86.10,-76.58
0.0913,0.3928,0.1674,-1.4172,16.45,-87.92,-77.14
0.0938,0.4026,0.1688,-1.3898,16.87,-88.76,-77.77
0.0962,0.4070,0.1728,-1.3664,17.01,-89.67,-78.54
0.0986,0.4114,0.1771,-1.3557,17.15,-90.86,-79.45
0.1010,0.4211,0.1762,-1.3620,17.15,-91.63,-80.29
0.1034,0.4265,0.1762,-1.3718,17.99,-92.54,-81.34
0.1058,0.4319,0.1786,-1.3659,18.27,-93.66,-82.53
0.1082,0.4460,0.1728,-1.3347,18.34,-94.78,-83.79
0.1106,0.4616,0.1649,-1.2878,19.18,-95.48,-85.19
0.1130,0.4641,0.1591,-1.2424,19.88,-95.76,-86.66
0.1154,0.4656,0.1566,-1.2083,20.72,-96.81,-88.34
0.1178,0.4734,0.1571,-1.1966,20.65,-97.44,-90.16
0.1202,0.4748,0.1537,-1.1941,21.49,-97.72,-91.98
0.1226,0.4743,0.1537,-1.1775,21.91,-98.56,-93.87
0.1250,0.4753,0.1523,-1.1434,21.84,-99.40,-96.04
0.1274,0.4714,0.1425,-1.1073,21.84,-99.96,-98.14
0.1298,0.4592,0.1327,-1.0795,22.19,-100.31,-100.10
0.1322,0.4455,0.1269,-1.0575,22.05,-100.87,-101.99
0.1346,0.4353,0.1215,-1.0385,21.63,-101.22,-104.16
0.1370,0.4236,0.1205,-1.0238,21.98,-101.36,-105.98
0.1394,0.4133,0.1240,-1.0038,22.26,-101.43,-107.87
0.1418,0.3997,0.1303,-0.9819,22.33,-100.66,-109.62
0.1442,0.3811,0.1362,-0.9643,22.61,-100.24,-111.16
0.1466,0.3675,0.1401,-0.9570,23.24,-99.47,-112.56
0.1490,0.3475,0.1488,-0.9706,23.80,-98.28,-113.89
0.1514,0.3226,0.1537,-0.9926,23.73,-97.86,-114.66
0.1538,0.3016,0.1518,-1.0053,23.87,-96.74,-115.43
0.1563,0.2791,0.1518,-0.9994,24.08,-95.34,-115.99
0.1587,0.2577,0.1537,-0.9858,24.15,-94.29,-116.48
0.1611,0.2401,0.1498,-0.9784,24.15,-93.17,-116.90
0.1635,0.2279,0.1479,-0.9745,24.78,-91.28,-117.25
0.1659,0.2225,0.1484,-0.9819,24.85,-89.25,-117.46
0.1683,0.2303,0.1459,-0.9897,25.34,-88.06,-117.67
0.1707,0.2562,0.1498,-0.9765,25.97,-86.38,-117.74
0.1731,0.2996,0.1542,-0.9511,26.18,-84.56,-117.74
0.1755,0.3333,0.1620,-0.9252,26.81,-82.32,-117.46
0.1779,0.3387,0.1645,-0.9126,27.65,-79.66,-117.39
0.1803,0.3616,0.1547,-0.9033,27.86,-78.68,-117.46
0.1827,0.3919,0.1469,-0.8838,27.93,-76.72,-117.32
0.1851,0.3870,0.1415,-0.8555,27.86,-73.43,-117.53
0.1875,0.3723,0.1327,-0.8272,28.77,-71.96,-118.37
0.1899,0.3719,0.1235,-0.8047,28.98,-71.19,-119.28
0.1923,0.3904,0.1054,-0.7930,28.91,-70.28,-120.47
0.1947,0.3992,0.0893,-0.7871,29.75,-66.64,-121.80
0.1971,0.4016,0.0908,-0.7647,30.24,-66.64,-123.48
0.1995,0.4372,0.0942,-0.7271,29.89,-66.50,-125.23
0.2019,0.4773,0.0937,-0.6856,29.96,-63.49,-126.84
0.2043,0.5129,0.0976,-0.6456,30.80,-61.81,-128.45
0.2067,0.5524,0.1161,-0.5924,30.17,-60.69,-129.71
0.2091,0.5695,0.1249,-0.5553,29.47,-56.70,-131.11
0.2115,0.5534,0.1327,-0.5456,31.29,-53.20,-132.58
0.2139,0.5510,0.1523,-0.5427,31.15,-53.55,-134.68
0.2163,0.5890,0.1508,-0.5348,29.82,-52.43,-136.85
0.2188,0.6149,0.1371,-0.5183,30.10,-48.23,-139.16
