# throw_id=7,class=forehand,name=,samples=616,sample_rate_hz=416.0,dropped=0,peak_accel_g=4.3644,peak_gyro_dps=407.83
time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
0.0000,-0.0454,0.0556,-0.9853,0.56,-2.03,-0.63
0.0024,-0.0449,0.0542,-0.9853,0.56,-2.03,-0.63
0.0048,-0.0425,0.0532,-0.9853,0.56,-1.89,-0.56
0.0072,-0.0434,0.0547,-0.9877,0.56,-1.96,-0.56
0.0096,-0.0420,0.0547,-0.9877,0.56,-2.03,-0.56
0.0120,-0.0425,0.0537,-0.9882,0.56,-2.03,-0.70
0.0144,-0.0439,0.0542,-0.9887,0.56,-2.10,-0.77
0.0168,-0.0425,0.0537,-0.9872,0.49,-2.17,-0.63
0.0192,-0.0444,0.0537,-0.9867,0.56,-2.03,-0.63
0.0216,-0.0459,0.0542,-0.9882,0.49,-1.96,-0.56
0.0240,-0.0434,0.0561,-0.9877,0.56,-2.17,-0.63
0.0264,-0.0420,0.0566,-0.9882,0.70,-1.96,-0.49
0.0288,-0.0444,0.0547,-0.9882,0.70,-1.89,-0.56
0.0313,-0.0434,0.0532,-0.9853,0.56,-2.10,-0.56
0.0337,-0.0434,0.0532,-0.9862,0.56,-1.96,-0.56
0.0361,-0.0454,0.0547,-0.9862,0.56,-1.96,-0.56
0.0385,-0.0444,0.0551,-0.9872,0.49,-2.24,-0.63
0.0409,-0.0429,0.0556,-0.9887,0.56,-2.10,-0.56
0.0433,-0.0444,0.0561,-0.9892,0.56,-2.03,-0.63
0.0457,-0.0468,0.0556,-0.9882,0.56,-2.03,-0.63
0.0481,-0.0449,0.0556,-0.9867,0.56,-2.10,-0.63
0.0505,-0.0439,0.0542,-0.9892,0.63,-2.24,-0.70
0.0529,-0.0429,0.0537,-0.9892,0.56,-2.03,-0.70
0.0553,-0.0434,0.0542,-0.9862,0.49,-2.10,-0.63
0.0577,-0.0444,0.0551,-0.9858,0.49,-2.10,-0.70
0.0601,-0.0439,0.0547,-0.9887,0.56,-2.03,-0.63
0.0625,-0.0429,0.0532,-0.9887,0.56,-1.96,-0.63
0.0649,-0.0434,0.0537,-0.9867,0.56,-1.89,-0.63
0.0673,-0.0434,0.0537,-0.9867,0.56,-1.96,-0.56
0.0697,-0.0425,0.0527,-0.9867,0.56,-2.03,-0.70
0.0721,-0.0429,0.0532,-0.9872,0.49,-1.96,-0.63
0.0745,-0.0434,0.0537,-0.9867,0.56,-2.03,-0.63
0.0769,-0.0434,0.0537,-0.9867,0.63,-2.10,-0.56
0.0793,-0.0434,0.0561,-0.9882,0.56,-1.96,-0.63
0.0817,-0.0434,0.0561,-0.9892,0.56,-1.96,-0.56
0.0841,-0.0434,0.0551,-0.9892,0.56,-2.03,-0.70
0.0865,-0.0449,0.0547,-0.9862,0.49,-1.96,-0.70
0.0889,-0.0444,0.0542,-0.9853,0.56,-1.96,-0.70
0.0913,-0.0439,0.0547,-0.9882,0.56,-2.03,-0.63
0.0938,-0.0444,0.0542,-0.9892,0.56,-2.10,-0.63
0.0962,-0.0429,0.0532,-0.9887,0.56,-2.10,-0.63
0.0986,-0.0429,0.0532,-0.9867,0.63,-1.96,-0.56
0.1010,-0.0434,0.0532,-0.9872,0.56,-2.03,-0.63
0.1034,-0.0439,0.0527,-0.9877,0.56,-2.03,-0.63
0.1058,-0.0449,0.0522,-0.9887,0.49,-2.10,-0.56
0.1082,-0.0439,0.0527,-0.9892,0.56,-1.96,-0.56
0.1106,-0.0439,0.0537,-0.9882,0.56,-2.03,-0.63
0.1130,-0.0454,0.0542,-0.9882,0.49,-2.10,-0.63
0.1154,-0.0439,0.0556,-0.9887,0.49,-2.17,-0.63
0.1178,-0.0420,0.0551,-0.9858,0.56,-2.17,-0.56
0.1202,-0.0429,0.0537,-0.9843,0.56,-1.96,-0.63
0.1226,-0.0439,0.0537,-0.9862,0.63,-2.03,-0.56
0.1250,-0.0434,0.0532,-0.9872,0.56,-2.03,-0.63
0.1274,-0.0425,0.0532,-0.9882,0.56,-1.89,-0.49
0.1298,-0.0444,0.0551,-0.9892,0.56,-2.03,-0.56
0.1322,-0.0449,0.0556,-0.9877,0.56,-2.10,-0.63
0.1346,-0.0434,0.0537,-0.9862,0.49,-2.10,-0.70
0.1370,-0.0429,0.0537,-0.9877,0.49,-1.96,-0.63
0.1394,-0.0429,0.0551,-0.9867,0.56,-1.89,-0.63
0.1418,-0.0439,0.0566,-0.9858,0.63,-2.03,-0.56
0.1442,-0.0444,0.0561,-0.9887,0.56,-2.10,-0.56
0.1466,-0.0449,0.0551,-0.9892,0.56,-2.03,-0.56
0.1490,-0.0444,0.0551,-0.9877,0.42,-2.03,-0.70
0.1514,-0.0434,0.0551,-0.9867,0.49,-2.03,-0.63
0.1538,-0.0429,0.0561,-0.9867,0.56,-2.03,-0.56
0.1563,-0.0434,0.0556,-0.9872,0.63,-2.10,-0.49
0.1587,-0.0434,0.0551,-0.9862,0.49,-2.10,-0.63
0.1611,-0.0429,0.0537,-0.9867,0.56,-2.10,-0.70
0.1635,-0.0429,0.0522,-0.9877,0.49,-2.10,-0.56
